horizon,subset,model,fold_id,n_features,mape,n_eval
5,S5_plus_calendar,Ridge,1,106,0.7469896955892341,90
5,S5_plus_calendar,Ridge,2,106,0.5942183030176084,90
5,S5_plus_calendar,Ridge,3,106,1.7418767731947715,90
5,S5_plus_calendar,Ridge,4,106,4.522962048333076,90
5,S5_plus_calendar,ElasticNet,0,106,0.8690727164463422,90
5,S5_plus_calendar,ElasticNet,1,106,0.36584832663366484,90
5,S5_plus_calendar,ElasticNet,2,106,0.4807517200926624,90
5,S5_plus_calendar,ElasticNet,3,106,2.2135885524824848,90
5,S5_plus_calendar,ElasticNet,4,106,3.1178867388987332,90
5,S6_full,Ridge,0,116,0.7292720363327254,90
5,S6_full,Ridge,1,116,0.7469896955892592,90
5,S6_full,Ridge,2,116,0.5942183030176382,90
5,S6_full,Ridge,3,116,1.7418767731952531,90
5,S6_full,Ridge,4,116,4.522962048334295,90
5,S6_full,ElasticNet,0,116,0.8690727164463422,90
5,S6_full,ElasticNet,1,116,0.36584832663366484,90
5,S6_full,ElasticNet,2,116,0.4807517200926624,90
5,S6_full,ElasticNet,3,116,2.2135885524824848,90
5,S6_full,ElasticNet,4,116,3.1178867388987332,90
20,S1_lag_only,Ridge,0,30,3.075528050312652,90
20,S1_lag_only,Ridge,1,30,1.1385978885619858,90
20,S1_lag_only,Ridge,2,30,1.0124210137444598,90
20,S1_lag_only,Ridge,3,30,4.177585960682708,90
20,S1_lag_only,Ridge,4,30,7.683418655720706,90
20,S1_lag_only,ElasticNet,0,30,2.115243951301297,90
20,S1_lag_only,ElasticNet,1,30,0.993275211925059,90
20,S1_lag_only,ElasticNet,2,30,0.9734049095039881,90
20,S1_lag_only,ElasticNet,3,30,4.408662034908514,90
20,S1_lag_only,ElasticNet,4,30,7.805499045141836,90
20,S2_plus_returns,Ridge,0,48,4.0736561975048655,90
20,S2_plus_returns,Ridge,1,48,0.7201485958275743,90
20,S2_plus_returns,Ridge,2,48,1.0725035334541095,90
20,S2_plus_returns,Ridge,3,48,3.969504872576875,90
20,S2_plus_returns,Ridge,4,48,7.015695774245106,90
20,S2_plus_returns,ElasticNet,0,48,2.394166248035964,90
20,S2_plus_returns,ElasticNet,1,48,0.8436013871509428,90
20,S2_plus_returns,ElasticNet,2,48,1.0240585605538794,90
20,S2_plus_returns,ElasticNet,3,48,4.094569003456119,90
20,S2_plus_returns,ElasticNet,4,48,7.264645741834132,90
20,S3_plus_technical,Ridge,0,86,5.289748755551647,90
20,S3_plus_technical,Ridge,1,86,1.2780628741339755,90
20,S3_plus_technical,Ridge,2,86,1.1639436754935961,90
20,S3_plus_technical,Ridge,3,86,4.499040432838416,90
20,S3_plus_technical,Ridge,4,86,8.26735839701431,90
20,S3_plus_technical,ElasticNet,0,86,2.1645923179400963,90
20,S3_plus_technical,ElasticNet,1,86,0.7931174637595876,90
20,S3_plus_technical,ElasticNet,2,86,1.0322622378810782,90
20,S3_plus_technical,ElasticNet,3,86,3.82958582250889,90
20,S3_plus_technical,ElasticNet,4,86,7.084022611042569,90
20,S4_plus_macro,Ridge,0,93,6.9664563941776905,90
20,S4_plus_macro,Ridge,1,93,1.240615906266934,90
20,S4_plus_macro,Ridge,2,93,1.124667461886119,90
20,S4_plus_macro,Ridge,3,93,4.345951366167973,90
20,S4_plus_macro,Ridge,4,93,9.662545823488514,90
20,S4_plus_macro,ElasticNet,0,93,2.5184889138392457,90
20,S4_plus_macro,ElasticNet,1,93,0.676783199372149,90
20,S4_plus_macro,ElasticNet,2,93,1.0755201988748149,90
20,S4_plus_macro,ElasticNet,3,93,3.9673595944979425,90
20,S4_plus_macro,ElasticNet,4,93,7.281894566668878,90
20,S5_plus_calendar,Ridge,0,106,5.195890272187683,90
20,S5_plus_calendar,Ridge,1,106,2.46952133209759,90
