horizon,model,MAPE_mean,MAPE_std,RMSE_mean,n_folds
1,Ridge,0.633368922378413,0.5447882304736241,0.6559943219288175,5
1,Chronos-Bolt-FineTuned,2.4137847066559956,2.165285060527691,2.3763333235294857,5
1,Chronos-Bolt-ZeroShot,3.1216395615186547,3.2711970083216007,2.9406577232891644,5
5,Ridge,1.667063771293807,1.6612298904578706,1.698287579751436,5
5,Chronos-Bolt-FineTuned,2.5790399944857954,2.347298717476375,2.461625129930794,5
5,Chronos-Bolt-ZeroShot,3.307500110978147,3.4872193359729478,3.037596832238928,5
20,Chronos-Bolt-FineTuned,3.2038692942358495,3.0342687921584792,2.837778762871659,5
20,Chronos-Bolt-ZeroShot,3.9258836292239168,4.157894206245912,3.4306043171708005,5
20,Ridge,4.650431863892516,3.29978768289682,4.126310257154371,5
