model,horizon,fold_id,metric,value
RollingNaive,5,0,pred_seconds,0.0
RollingNaive,5,0,n_eval,86.0
AutoARIMA,5,0,MAE,1.4993564050727015
AutoARIMA,5,0,RMSE,1.718814792335042
AutoARIMA,5,0,MAPE,2.2320768459596096
AutoARIMA,5,0,sMAPE,2.1998303612194574
AutoARIMA,5,0,R2,-22.52061664559706
AutoARIMA,5,0,MASE,2.9750914808003546
AutoARIMA,5,0,DA,40.25974025974026
AutoARIMA,5,0,HitRate_0.5pct,13.953488372093023
AutoARIMA,5,0,fit_seconds,2.204240560531616
AutoARIMA,5,0,pred_seconds,0.004257678985595703
AutoARIMA,5,0,n_eval,86.0
AutoETS,5,0,MAE,1.6133059020438556
AutoETS,5,0,RMSE,1.841688378359878
AutoETS,5,0,MAPE,2.4015026441812277
AutoETS,5,0,sMAPE,2.3645292594968543
AutoETS,5,0,R2,-26.003672576119207
AutoETS,5,0,MASE,3.2011952787588713
AutoETS,5,0,DA,40.25974025974026
AutoETS,5,0,HitRate_0.5pct,13.953488372093023
AutoETS,5,0,fit_seconds,0.6153733730316162
AutoETS,5,0,pred_seconds,0.0045893192291259766
AutoETS,5,0,n_eval,86.0
AutoTheta,5,0,MAE,1.5212848830151386
AutoTheta,5,0,RMSE,1.741017387946559
AutoTheta,5,0,MAPE,2.2646701300190206
AutoTheta,5,0,sMAPE,2.231592702688884
AutoTheta,5,0,R2,-23.13219107816978
AutoTheta,5,0,MASE,3.018602968591211
AutoTheta,5,0,DA,40.25974025974026
AutoTheta,5,0,HitRate_0.5pct,13.953488372093023
AutoTheta,5,0,fit_seconds,0.11872529983520508
AutoTheta,5,0,pred_seconds,0.0030663013458251953
AutoTheta,5,0,n_eval,86.0
HistoricAverage,5,0,MAE,14.308133953488376
HistoricAverage,5,0,RMSE,14.31252259260384
HistoricAverage,5,0,MAPE,21.27201745570961
HistoricAverage,5,0,sMAPE,23.80499039679424
HistoricAverage,5,0,R2,-1629.8833868546453
HistoricAverage,5,0,MASE,28.3908530934708
HistoricAverage,5,0,DA,59.74025974025974
HistoricAverage,5,0,HitRate_0.5pct,8.13953488372093
HistoricAverage,5,0,fit_seconds,0.0025420188903808594
HistoricAverage,5,0,pred_seconds,0.0
HistoricAverage,5,0,n_eval,86.0
Prophet,5,0,MAE,1.8835882568973072
Prophet,5,0,RMSE,2.5710594545797494
Prophet,5,0,MAPE,2.8023258379245517
Prophet,5,0,sMAPE,2.7314851803731206
Prophet,5,0,R2,-51.62774691985297
Prophet,5,0,MASE,3.737501875785862
Prophet,5,0,DA,51.94805194805194
Prophet,5,0,HitRate_0.5pct,16.27906976744186
Prophet,5,0,fit_seconds,0.6379570960998535
Prophet,5,0,pred_seconds,0.2629086971282959
Prophet,5,0,n_eval,86.0
MLForecast_LGBM,5,0,MAE,0.8341155969525978
MLForecast_LGBM,5,0,RMSE,0.9237179299918317
MLForecast_LGBM,5,0,MAPE,1.2377130801410126
MLForecast_LGBM,5,0,sMAPE,1.2471535085599341
MLForecast_LGBM,5,0,R2,-5.793119987230464
MLForecast_LGBM,5,0,MASE,1.6550902761348782
MLForecast_LGBM,5,0,DA,59.74025974025974
MLForecast_LGBM,5,0,HitRate_0.5pct,8.13953488372093
MLForecast_LGBM,5,0,fit_seconds,0.0946805477142334
MLForecast_LGBM,5,0,pred_seconds,0.1848433017730713
MLForecast_LGBM,5,0,n_eval,86.0
Naive,20,0,MAE,0.30563380281690045
Naive,20,0,RMSE,0.37510561892900557
Naive,20,0,MAPE,0.45442318651892843
Naive,20,0,sMAPE,0.4542730303698779
Naive,20,0,R2,-0.036534217948526404
Naive,20,0,MASE,0.6064525551955646
Naive,20,0,DA,84.12698412698413
Naive,20,0,HitRate_0.5pct,53.52112676056338
Naive,20,0,fit_seconds,0.0
Naive,20,0,pred_seconds,0.0
Naive,20,0,n_eval,71.0
SeasonalNaive,20,0,MAE,0.31267605633802803
SeasonalNaive,20,0,RMSE,0.3907378358158171
SeasonalNaive,20,0,MAPE,0.4641802095223052
SeasonalNaive,20,0,sMAPE,0.4647857957862611
SeasonalNaive,20,0,R2,-0.1247278200762838
SeasonalNaive,20,0,MASE,0.6204261163751876
SeasonalNaive,20,0,DA,78.46153846153847
SeasonalNaive,20,0,HitRate_0.5pct,54.929577464788736
SeasonalNaive,20,0,fit_seconds,0.0
SeasonalNaive,20,0,pred_seconds,0.0
SeasonalNaive,20,0,n_eval,71.0
RollingNaive,20,0,MAE,0.5225352112676056
RollingNaive,20,0,RMSE,0.6420148741201794
RollingNaive,20,0,MAPE,0.7762249493394285
RollingNaive,20,0,sMAPE,0.7763731761041537
RollingNaive,20,0,R2,-2.036453842669043
RollingNaive,20,0,MASE,1.036838239527904
RollingNaive,20,0,DA,50.0
RollingNaive,20,0,HitRate_0.5pct,22.535211267605636
RollingNaive,20,0,fit_seconds,0.0
RollingNaive,20,0,pred_seconds,0.00039839744567871094
RollingNaive,20,0,n_eval,71.0
AutoARIMA,20,0,MAE,1.7574816000473081
AutoARIMA,20,0,RMSE,1.8864048178338928
AutoARIMA,20,0,MAPE,2.6164759403878755
AutoARIMA,20,0,sMAPE,2.57763711403988
AutoARIMA,20,0,R2,-25.214784860718705
AutoARIMA,20,0,MASE,3.487275285765423
AutoARIMA,20,0,DA,45.714285714285715
AutoARIMA,20,0,HitRate_0.5pct,23.943661971830984
AutoARIMA,20,0,fit_seconds,2.2633049488067627
AutoARIMA,20,0,pred_seconds,0.003098011016845703
AutoARIMA,20,0,n_eval,71.0
AutoETS,20,0,MAE,1.8872976358701024
AutoETS,20,0,RMSE,2.0208639507080104
AutoETS,20,0,MAPE,2.809524570034721
AutoETS,20,0,sMAPE,2.7650102104277785
AutoETS,20,0,R2,-29.085044457399672
AutoETS,20,0,MASE,3.744862195015957
AutoETS,20,0,DA,45.714285714285715
AutoETS,20,0,HitRate_0.5pct,23.943661971830984
AutoETS,20,0,fit_seconds,0.6276812553405762
AutoETS,20,0,pred_seconds,0.004736900329589844
AutoETS,20,0,n_eval,71.0
AutoTheta,20,0,MAE,1.7813525081970984
AutoTheta,20,0,RMSE,1.9105328832391508
AutoTheta,20,0,MAPE,2.651967978484169
AutoTheta,20,0,sMAPE,2.612138356927666
AutoTheta,20,0,R2,-25.889674058521894
AutoTheta,20,0,MASE,3.534641032318502
AutoTheta,20,0,DA,45.714285714285715
AutoTheta,20,0,HitRate_0.5pct,23.943661971830984
AutoTheta,20,0,fit_seconds,0.11946988105773926
AutoTheta,20,0,pred_seconds,0.002849578857421875
AutoTheta,20,0,n_eval,71.0
HistoricAverage,20,0,MAE,14.281897464788738
