horizon,model,metric,mean,std,min,max,count
1,HistoricAverage,DA,44.637505988561415,9.08121829954407,31.16883116883117,52.54237288135594,5
1,MLForecast_LGBM,DA,47.02519493234447,12.252845941751762,31.16883116883117,65.21739130434783,5
1,Naive,DA,48.648464236379255,12.103713169668456,31.57894736842105,62.121212121212125,5
1,Prophet,DA,48.74293009936562,10.595887772530224,31.16883116883117,57.534246575342465,5
1,AutoTheta,DA,49.86691709132044,9.998590783259766,32.467532467532465,57.6271186440678,5
1,AutoARIMA,DA,50.40018256028707,9.52047508350286,33.76623376623377,57.6271186440678,5
1,SeasonalNaive,DA,51.24157993673391,12.927174904213665,35.064935064935064,65.45454545454545,5
1,AutoETS,DA,52.39396342730737,12.415750754647952,32.467532467532465,66.19718309859155,5
1,RollingNaive,DA,,,,,0
1,RollingNaive,HitRate_0.5pct,0.0,0.0,0.0,0.0,5
1,MLForecast_LGBM,HitRate_0.5pct,5.555555555555555,5.328701692569689,1.1111111111111112,13.333333333333334,5
1,HistoricAverage,HitRate_0.5pct,5.777777777777777,7.00088177867705,0.0,16.666666666666664,5
1,Naive,HitRate_0.5pct,5.777777777777777,5.741338081228361,1.1111111111111112,14.444444444444443,5
1,SeasonalNaive,HitRate_0.5pct,6.222222222222222,5.752079602464348,1.1111111111111112,14.444444444444443,5
1,AutoETS,HitRate_0.5pct,6.666666666666667,5.719794522770556,1.1111111111111112,15.555555555555555,5
1,AutoTheta,HitRate_0.5pct,6.666666666666667,5.719794522770556,1.1111111111111112,15.555555555555555,5
1,Prophet,HitRate_0.5pct,6.666666666666667,5.719794522770556,1.1111111111111112,15.555555555555555,5
1,AutoARIMA,HitRate_0.5pct,6.888888888888888,5.847865496418118,1.1111111111111112,15.555555555555555,5
1,RollingNaive,MAE,0.2520888888888888,0.19883735210616899,0.08055555555555524,0.5471111111111111,5
1,SeasonalNaive,MAE,2.2682,2.336651020183258,0.17944444444444435,5.526666666666669,5
1,AutoARIMA,MAE,2.3813802643404745,1.9518633995581747,0.4797513555905692,4.776450975819832,5
1,AutoTheta,MAE,2.399501830083873,1.9981045660292023,0.49510741696114385,4.938339873233008,5
1,AutoETS,MAE,2.4062920476641914,1.945536680149184,0.39527909847888004,4.762911301551013,5
1,Naive,MAE,2.415977777777778,2.5287044631052487,0.2822222222222215,6.1377777777777816,5
1,MLForecast_LGBM,MAE,2.527003211877775,2.563508299789497,0.09967583073728624,6.299086898773411,5
1,Prophet,MAE,2.983786706081214,2.3872541375571052,1.0621038532906666,6.544820082002867,5
1,HistoricAverage,MAE,17.148223800731966,5.3118961136412635,12.933805300713551,25.239084150326793,5
1,RollingNaive,MAPE,0.328488326148249,0.22698407614052557,0.12004445701764146,0.6495215699698955,5
1,SeasonalNaive,MAPE,2.911362444108491,2.9170124268078084,0.2674820228069074,7.126878534507933,5
1,Naive,MAPE,3.116718385179424,3.1766369858259007,0.41946658079308935,7.927569498313006,5
1,AutoARIMA,MAPE,3.1293832655069815,2.372004319332759,0.6900299658114231,6.166902178004255,5
1,AutoTheta,MAPE,3.150999691188571,2.4370981566580276,0.7116780030602573,6.380020132387062,5
1,AutoETS,MAPE,3.169676017649215,2.3685629571307096,0.5702285082588086,6.1536766323575804,5
1,MLForecast_LGBM,MAPE,3.247616777612852,3.201899144989716,0.14852228011135488,8.139279628770742,5
1,Prophet,MAPE,3.8967255152523292,2.905652320205734,1.5848844498506733,8.470484202198278,5
1,HistoricAverage,MAPE,23.292630077553586,4.787610990171621,19.285569700219057,30.342961483792973,5
1,RollingNaive,MASE,0.5294401093096819,0.41220753599713683,0.16625980174581972,1.106718751295895,5
1,SeasonalNaive,MASE,4.883156408104,5.150273922948689,0.3703580411303445,12.415615935594625,5
1,AutoARIMA,MASE,5.043622608217004,4.271745757827206,1.0473947283889236,10.730261915134228,5
1,AutoTheta,MASE,5.087305023190841,4.388063169506669,1.0809201317899366,11.093944130065267,5
1,AutoETS,MASE,5.090615096401422,4.2560728593682615,0.862974620424905,10.699845136675599,5
1,Naive,MASE,5.210462694966128,5.6089088218286145,0.5599982273628683,13.788472542867858,5
1,MLForecast_LGBM,MASE,5.434911369961422,5.695267243889763,0.20572242029666266,14.15085229434978,5
1,Prophet,MASE,6.360937574388073,5.353392556875799,2.1920918410126937,14.702890079441703,5
1,HistoricAverage,MASE,36.002277151381804,11.088101188651045,26.694271925573904,51.054652569519725,5
1,HistoricAverage,R2,-1477.4890135563744,2357.0691917098275,-5499.111772038823,-30.881304112691392,5
1,Prophet,R2,-21.647874116304337,27.271574486041235,-51.51493600568469,-0.33552534232698994,5
1,AutoETS,R2,-17.596874846073327,26.524189113129303,-60.724604644540186,0.7992489359499327,5
1,AutoARIMA,R2,-14.795175043415608,21.893083534504644,-50.04364817187425,0.693234180848208,5
1,AutoTheta,R2,-13.926811298126745,19.90866174170949,-44.937146403206555,0.6707345640220601,5
1,MLForecast_LGBM,R2,-2.259100584580553,2.6143145684813196,-5.7886369814629495,0.31818644422656583,5
1,Naive,R2,-1.7329097230306871,1.8003273345812822,-3.9224219888003438,-0.008488365302704137,5
1,SeasonalNaive,R2,-1.1786880293805833,1.245799229390277,-3.13715286436548,-0.0744599526255485,5
1,RollingNaive,R2,0.8049655805462809,0.22076583331581032,0.5242540152798874,0.982775027847653,5
1,RollingNaive,RMSE,0.42952049097349737,0.42221725096753127,0.12030054955078973,1.1314729829346837,5
1,SeasonalNaive,RMSE,2.7165416843809984,2.6925818230934686,0.2454587541726711,6.303543976737744,5
1,AutoARIMA,RMSE,2.7886629539326107,2.206103010557034,0.6797456033808021,5.376330124602785,5
1,AutoTheta,RMSE,2.79871689742549,2.2340576625568476,0.7042323893252973,5.52409684907736,5
1,AutoETS,RMSE,2.809639536585081,2.198412026214503,0.5498849727348345,5.327559652970294,5
1,Naive,RMSE,2.817169774604711,2.8466826733908595,0.35023801430836504,6.875802983409772,5
1,MLForecast_LGBM,RMSE,3.018861836883043,2.9333623831070432,0.14401670199627725,7.028807369131625,5
1,Prophet,RMSE,3.617203984942793,2.6790339622293295,1.2639254704909046,7.196372873713663,5
1,HistoricAverage,RMSE,17.289643920474298,5.486420347335402,12.934981237655292,25.644475118537756,5
1,RollingNaive,fit_seconds,0.0,0.0,0.0,0.0,5
1,SeasonalNaive,fit_seconds,0.0,0.0,0.0,0.0,5
1,Naive,fit_seconds,8.192062377929688e-05,0.00018318008352969357,0.0,0.0004096031188964844,5
1,HistoricAverage,fit_seconds,0.002875614166259766,0.0009322605830030471,0.001873016357421875,0.004347324371337891,5
1,MLForecast_LGBM,fit_seconds,0.12392687797546387,0.07361185184674325,0.08485150337219238,0.2553579807281494,5
1,AutoTheta,fit_seconds,0.17687768936157228,0.05830580812049547,0.1153864860534668,0.2683839797973633,5
1,AutoETS,fit_seconds,0.7097774505615234,0.09237946777749033,0.5955772399902344,0.8504500389099121,5
1,Prophet,fit_seconds,1.0617084503173828,0.7754707751601251,0.5700488090515137,2.4302334785461426,5
1,AutoARIMA,fit_seconds,2.44120306968689,0.204809586792607,2.1971802711486816,2.7258591651916504,5
1,AutoARIMA,n_eval,90.0,0.0,90.0,90.0,5
1,AutoETS,n_eval,90.0,0.0,90.0,90.0,5
1,AutoTheta,n_eval,90.0,0.0,90.0,90.0,5
1,HistoricAverage,n_eval,90.0,0.0,90.0,90.0,5
1,MLForecast_LGBM,n_eval,90.0,0.0,90.0,90.0,5
1,Naive,n_eval,90.0,0.0,90.0,90.0,5
1,Prophet,n_eval,90.0,0.0,90.0,90.0,5
1,RollingNaive,n_eval,90.0,0.0,90.0,90.0,5
