model,horizon,fold_id,metric,value
Chronos-Bolt-Small,5,3,sMAPE,9.00014679721197
Chronos-Bolt-Small,5,3,R2,-5.361921229325063
Chronos-Bolt-Small,5,3,MASE,14.863458560093273
Chronos-Bolt-Small,5,3,DA,24.390243902439025
Chronos-Bolt-Small,5,3,HitRate_0.5pct,20.930232558139537
Chronos-Bolt-Small,5,3,fit_seconds,0.0
Chronos-Bolt-Small,5,3,pred_seconds,0.09084701538085938
Chronos-Bolt-Small,5,3,n_eval,86.0
Chronos-Bolt-Small,5,4,MAE,3.5889755142566755
Chronos-Bolt-Small,5,4,RMSE,4.766226631302651
Chronos-Bolt-Small,5,4,MAPE,4.195853547055718
Chronos-Bolt-Small,5,4,sMAPE,4.311476143913551
Chronos-Bolt-Small,5,4,R2,-0.05573613197494476
Chronos-Bolt-Small,5,4,MASE,7.259926583291472
Chronos-Bolt-Small,5,4,DA,57.74647887323944
Chronos-Bolt-Small,5,4,HitRate_0.5pct,39.53488372093023
Chronos-Bolt-Small,5,4,fit_seconds,0.0009999275207519531
Chronos-Bolt-Small,5,4,pred_seconds,0.08066177368164062
Chronos-Bolt-Small,5,4,n_eval,86.0
Chronos-Bolt-Small,20,0,MAE,0.5081027393609707
Chronos-Bolt-Small,20,0,RMSE,0.5897897184041777
Chronos-Bolt-Small,20,0,MAPE,0.7576878000542414
Chronos-Bolt-Small,20,0,sMAPE,0.7540350279025653
Chronos-Bolt-Small,20,0,R2,-1.5625414488970168
Chronos-Bolt-Small,20,0,MASE,1.008200669387109
Chronos-Bolt-Small,20,0,DA,66.17647058823529
Chronos-Bolt-Small,20,0,HitRate_0.5pct,46.478873239436616
Chronos-Bolt-Small,20,0,fit_seconds,1.1775577068328857
Chronos-Bolt-Small,20,0,pred_seconds,0.130462646484375
Chronos-Bolt-Small,20,0,n_eval,71.0
Chronos-Bolt-Small,20,1,MAE,0.22101896044234126
Chronos-Bolt-Small,20,1,RMSE,0.24548641519097314
Chronos-Bolt-Small,20,1,MAPE,0.3292650541371429
Chronos-Bolt-Small,20,1,sMAPE,0.3299346966416695
Chronos-Bolt-Small,20,1,R2,-7.6450969549898815
Chronos-Bolt-Small,20,1,MASE,0.45616429918192936
Chronos-Bolt-Small,20,1,DA,65.15151515151516
Chronos-Bolt-Small,20,1,HitRate_0.5pct,16.901408450704224
Chronos-Bolt-Small,20,1,fit_seconds,0.0
Chronos-Bolt-Small,20,1,pred_seconds,0.08827066421508789
Chronos-Bolt-Small,20,1,n_eval,71.0
Chronos-Bolt-Small,20,2,MAE,1.8231562654737015
Chronos-Bolt-Small,20,2,RMSE,2.1524001881737447
Chronos-Bolt-Small,20,2,MAPE,2.620908706307524
Chronos-Bolt-Small,20,2,sMAPE,2.669250818288765
Chronos-Bolt-Small,20,2,R2,-2.538604009155419
Chronos-Bolt-Small,20,2,MASE,3.9803207207944973
Chronos-Bolt-Small,20,2,DA,5.633802816901409
Chronos-Bolt-Small,20,2,HitRate_0.5pct,1.4084507042253522
Chronos-Bolt-Small,20,2,fit_seconds,0.0010099411010742188
Chronos-Bolt-Small,20,2,pred_seconds,0.09160971641540527
Chronos-Bolt-Small,20,2,n_eval,71.0
Chronos-Bolt-Small,20,3,MAE,7.619201660156252
Chronos-Bolt-Small,20,3,RMSE,7.989567003686732
Chronos-Bolt-Small,20,3,MAPE,9.796149381816928
Chronos-Bolt-Small,20,3,sMAPE,10.347180227795938
Chronos-Bolt-Small,20,3,R2,-12.175915507110522
Chronos-Bolt-Small,20,3,MASE,17.116480376660725
Chronos-Bolt-Small,20,3,DA,7.142857142857142
Chronos-Bolt-Small,20,3,HitRate_0.5pct,7.042253521126761
Chronos-Bolt-Small,20,3,fit_seconds,0.0
Chronos-Bolt-Small,20,3,pred_seconds,0.08333253860473633
Chronos-Bolt-Small,20,3,n_eval,71.0
Chronos-Bolt-Small,20,4,MAE,4.084704448001483
Chronos-Bolt-Small,20,4,RMSE,5.208900431709837
Chronos-Bolt-Small,20,4,MAPE,4.75723387523331
Chronos-Bolt-Small,20,4,sMAPE,4.900210647714885
Chronos-Bolt-Small,20,4,R2,-0.0736287970815761
Chronos-Bolt-Small,20,4,MASE,8.262707362905138
Chronos-Bolt-Small,20,4,DA,66.19718309859155
Chronos-Bolt-Small,20,4,HitRate_0.5pct,66.19718309859155
Chronos-Bolt-Small,20,4,fit_seconds,0.0
Chronos-Bolt-Small,20,4,pred_seconds,0.0770416259765625
Chronos-Bolt-Small,20,4,n_eval,71.0
