fold,epoch,step,loss,elapsed_s
0,0,1,34.6396484375,1.02
0,0,2,34.824913024902344,1.35
0,0,3,22.40367317199707,1.65
0,0,4,29.32562255859375,1.95
0,0,5,21.22292137145996,2.24
0,0,6,28.832061767578125,2.79
0,0,7,13.117169380187988,3.08
0,0,8,49.07334518432617,3.38
0,0,9,27.111127853393555,3.68
0,0,10,55.377437591552734,3.99
0,0,11,49.04021453857422,4.32
0,0,12,50.97262954711914,4.64
0,0,13,38.40039825439453,4.95
0,0,14,72.21702575683594,5.26
0,0,15,47.80239486694336,5.54
0,0,16,50.91062545776367,5.84
0,0,17,52.90788269042969,6.12
0,0,18,19.34020233154297,6.45
0,0,19,29.841455459594727,6.77
0,0,20,14.966547012329102,7.07
0,0,21,44.34785461425781,7.36
0,0,22,50.23930358886719,7.65
0,0,23,42.392974853515625,7.95
0,0,24,24.24058151245117,8.24
0,0,25,23.742849349975582,8.53
0,0,26,42.93574523925781,8.84
0,0,27,28.79155158996582,9.11
0,0,28,52.87884521484375,9.43
0,0,29,30.00637626647949,9.72
0,0,30,46.17734146118164,10.02
0,0,1,36.3529167175293,0.92
0,0,2,27.300024032592773,1.36
0,0,3,24.10525131225586,1.76
0,0,4,34.10807418823242,2.14
0,0,5,41.67441940307617,2.54
0,0,6,53.997215270996094,2.92
0,0,7,55.226036071777344,3.34
0,0,8,47.05653762817383,3.74
0,0,9,36.957550048828125,4.13
0,0,10,23.472919464111328,4.52
0,0,11,45.82587814331055,4.92
0,0,12,31.094806671142578,5.33
0,0,13,34.727420806884766,5.72
0,0,14,40.87137222290039,6.13
0,0,15,40.8418083190918,6.54
0,0,16,38.718955993652344,6.93
0,0,17,24.49102020263672,7.32
0,0,18,49.79499053955078,7.71
0,0,19,48.309898376464844,8.08
0,0,20,50.246578216552734,8.48
0,0,21,40.575748443603516,8.86
0,0,22,34.47859191894531,9.23
0,0,23,35.76088333129883,9.58
0,0,24,41.13161087036133,9.94
0,0,25,49.84791564941406,10.31
0,0,26,21.338287353515625,10.7
0,0,27,26.465595245361328,11.07
0,0,28,40.7598991394043,11.43
0,0,29,33.096290588378906,11.83
0,0,30,50.345516204833984,12.21
0,0,31,42.52044677734375,12.58
0,0,32,41.75038528442383,12.96
0,0,33,25.15513038635254,13.33
0,0,34,25.394664764404297,13.71
0,0,35,33.409271240234375,14.07
0,0,36,22.44454574584961,14.44
0,0,37,53.16454315185547,14.79
0,0,38,19.839435577392578,15.15
0,0,39,22.991275787353516,15.51
0,0,40,36.76075744628906,15.9
0,0,41,36.685543060302734,16.28
0,0,42,26.252593994140625,16.64
0,0,43,42.903953552246094,16.99
0,0,44,31.399106979370117,17.36
0,0,45,18.461946487426758,17.71
0,0,46,26.919294357299805,18.1
0,0,47,26.352230072021484,18.46
0,0,48,27.435649871826172,18.83
0,0,49,22.868427276611328,19.2
0,0,50,23.96944236755371,19.55
0,0,51,34.316551208496094,19.94
0,0,52,22.578182220458984,20.33
0,0,53,27.434425354003906,20.7
0,0,54,24.704051971435547,21.09
0,0,55,26.41135025024414,21.47
0,0,56,16.55986213684082,21.84
0,0,57,28.94464683532715,22.25
0,0,58,35.94187927246094,22.62
0,0,59,17.893157958984375,23.0
0,0,60,25.382726669311523,23.37
0,0,61,30.929908752441406,23.72
0,0,62,33.662628173828125,24.08
0,0,63,24.922550201416016,24.45
0,0,64,20.697301864624023,24.82
0,0,65,34.48122787475586,25.19
0,0,66,17.200695037841797,25.55
0,0,67,18.263031005859375,25.91
0,0,68,20.135387420654297,26.27
0,0,69,25.801176071166992,26.62
0,0,70,34.31938934326172,26.97
0,0,71,29.27208709716797,27.34
0,0,72,27.481828689575195,27.7
0,0,73,27.748186111450195,28.05
0,0,74,21.13829803466797,28.4
0,0,75,37.843997955322266,28.75
0,0,76,13.832374572753906,29.1
0,0,77,21.828842163085938,29.47
0,0,78,15.72153091430664,29.83
0,0,79,28.40314292907715,30.19
0,0,80,22.44666290283203,30.55
0,0,81,21.810781478881836,30.92
0,0,82,23.7519588470459,31.29
0,0,83,25.713436126708984,31.65
0,0,84,22.06893539428711,32.02
0,0,85,26.39337921142578,32.38
0,1,86,14.568830490112305,32.73
0,1,87,13.083683013916016,33.09
0,1,88,25.825315475463867,33.45
0,1,89,20.851158142089844,33.81
0,1,90,24.282426834106445,34.16
0,1,91,25.15808868408203,34.51
0,1,92,19.1501522064209,34.88
0,1,93,15.707106590270996,35.24
0,1,94,30.589284896850586,35.6
0,1,95,24.438026428222656,35.97
0,1,96,23.90597152709961,36.32
0,1,97,29.590776443481445,36.68
0,1,98,27.6259822845459,37.05
0,1,99,27.721477508544922,37.4
0,1,100,23.177488327026367,37.78
0,1,101,21.650100708007812,38.16
0,1,102,22.75967788696289,38.52
0,1,103,17.88184928894043,38.89
0,1,104,20.767534255981445,39.27
0,1,105,16.570274353027344,39.66
0,1,106,20.994779586791992,40.0
0,1,107,8.706398010253906,40.37
0,1,108,16.98714256286621,40.73
0,1,109,16.05632209777832,41.1
0,1,110,22.15703010559082,41.46
0,1,111,10.222810745239258,41.83
0,1,112,26.75115394592285,42.19
0,1,113,20.492237091064453,42.54
0,1,114,21.222736358642578,42.91
0,1,115,22.550983428955078,43.27
0,1,116,18.678871154785156,43.64
0,1,117,22.812053680419922,43.99
0,1,118,19.916828155517578,44.37
0,1,119,18.25315284729004,44.74
0,1,120,17.58146858215332,45.11
0,1,121,20.48211097717285,45.47
0,1,122,18.487363815307617,45.85
0,1,123,21.218774795532227,46.21
0,1,124,19.654359817504883,46.57
0,1,125,24.226198196411133,46.93
0,1,126,18.665592193603516,47.3
0,1,127,18.893314361572266,47.69
0,1,128,17.76987075805664,48.05
0,1,129,18.277694702148438,48.44
0,1,130,18.244770050048828,48.82
0,1,131,18.600078582763672,49.21
0,1,132,19.226463317871094,49.55
0,1,133,28.592105865478516,49.93
0,1,134,15.755425453186035,50.3
0,1,135,25.565202713012695,50.66
0,1,136,23.175369262695312,51.02
0,1,137,14.894254684448242,51.39
0,1,138,15.295832633972168,51.76
0,1,139,12.476568222045898,52.12
0,1,140,17.91288948059082,52.47
0,1,141,20.278911590576172,52.82
0,1,142,14.030434608459473,53.18
0,1,143,19.480022430419922,53.53
0,1,144,15.189440727233887,53.87
0,1,145,15.068700790405273,54.22
0,1,146,30.199203491210938,54.59
0,1,147,14.870180130004883,54.95
0,1,148,14.707213401794434,55.31
0,1,149,18.366601943969727,55.66
0,1,150,23.92754554748535,56.02
0,1,151,18.71091079711914,56.37
0,1,152,16.19524574279785,56.73
0,1,153,21.673250198364258,57.07
0,1,154,15.741170883178711,57.42
0,1,155,15.44377326965332,57.8
0,1,156,20.953948974609375,58.16
0,1,157,21.375444412231445,58.51
0,1,158,17.85731315612793,58.89
0,1,159,20.058073043823242,59.24
0,1,160,21.810012817382812,59.6
0,1,161,9.734296798706055,59.94
0,1,162,17.601383209228516,60.31
0,1,163,24.566669464111328,60.68
0,1,164,17.80254554748535,61.04
0,1,165,22.91873550415039,61.39
0,1,166,21.65967559814453,61.74
0,1,167,25.134227752685547,62.1
0,1,168,10.2037935256958,62.43
0,1,169,24.344369888305664,62.78
0,1,170,17.22498321533203,63.13
0,2,171,16.404081344604492,63.49
0,2,172,18.708433151245117,63.86
0,2,173,24.29615020751953,64.22
0,2,174,23.516605377197266,64.56
0,2,175,14.594266891479492,64.92
0,2,176,21.31679344177246,65.27
0,2,177,16.323017120361328,65.61
0,2,178,14.734769821166992,65.98
0,2,179,18.370540618896484,66.33
0,2,180,12.871895790100098,66.7
0,2,181,17.895265579223633,67.05
0,2,182,16.409879684448242,67.4
0,2,183,19.953569412231445,67.75
0,2,184,14.93767261505127,68.15
0,2,185,18.607791900634766,68.49
0,2,186,17.728567123413086,68.87
0,2,187,16.215927124023438,69.24
0,2,188,13.633963584899902,69.61
0,2,189,15.519481658935547,69.98
0,2,190,24.038780212402344,70.35
0,2,191,13.90440559387207,70.71
0,2,192,15.81451416015625,71.07
0,2,193,15.567774772644043,71.42
