horizon,model,metric,mean,std,min,max,count
1,RandomForest,DA,43.60998576740853,7.242249269178285,31.16883116883117,49.275362318840585,5
1,CatBoost,DA,43.84680410489129,8.976699448646936,31.16883116883117,54.385964912280706,5
1,LightGBM,DA,44.67805242256659,8.228693021182751,31.16883116883117,52.63157894736842,5
1,SVR_RBF,DA,45.85084742376823,8.730949063676778,31.16883116883117,54.385964912280706,5
1,ElasticNet,DA,46.34027826710647,9.840444657861013,31.16883116883117,57.971014492753625,5
1,XGBoost,DA,46.68048277009275,9.00293376653607,31.16883116883117,54.385964912280706,5
1,Ridge,DA,54.38372266956827,11.572146415977208,33.76623376623377,60.56338028169014,5
1,SVR_RBF,HitRate_0.5pct,5.777777777777777,7.00088177867705,0.0,16.666666666666664,5
1,ElasticNet,HitRate_0.5pct,6.0,5.0674463337739475,1.1111111111111112,13.333333333333334,5
1,CatBoost,HitRate_0.5pct,6.222222222222221,6.601533678894643,1.1111111111111112,16.666666666666664,5
1,RandomForest,HitRate_0.5pct,6.222222222222223,4.817662975261956,2.2222222222222223,13.333333333333334,5
1,LightGBM,HitRate_0.5pct,6.666666666666667,5.665577237325317,2.2222222222222223,15.555555555555555,5
1,XGBoost,HitRate_0.5pct,6.888888888888888,6.15639785653114,1.1111111111111112,16.666666666666664,5
1,Ridge,HitRate_0.5pct,8.222222222222223,7.140564005804278,3.3333333333333335,20.0,5
1,Ridge,MAE,0.48180181866842703,0.44997572657981777,0.13597072093523443,1.1891710280119403,5
1,ElasticNet,MAE,0.5105663366254117,0.44302239431107837,0.11734341678357352,1.0016200632343684,5
1,RandomForest,MAE,2.2048556882403103,2.494937265182991,0.3477378497916945,5.907522822965946,5
1,LightGBM,MAE,2.33989208131573,2.5587426985838406,0.4497762287023843,6.0002453839511025,5
1,XGBoost,MAE,2.3450451612684464,2.5047082600655,0.4966115315755216,6.093309020996093,5
1,CatBoost,MAE,2.7778005140575908,2.9372425340401653,0.25951765675128513,6.477371137114233,5
1,SVR_RBF,MAE,6.3184349985289545,5.927462070176003,0.9184022145253028,15.42916763589427,5
1,Ridge,MAPE,0.6333689223783598,0.5447882304735273,0.19754805999547845,1.4834207437198554,5
1,ElasticNet,MAPE,0.6692420406066816,0.5400025873293219,0.17493176165329477,1.2763907621398194,5
1,RandomForest,MAPE,2.805752802248942,3.1106878595369234,0.5006829386732217,7.61452855824119,5
1,LightGBM,MAPE,2.973335964935964,3.168345594263408,0.6469082286420762,7.740259684374684,5
1,XGBoost,MAPE,2.994401052992649,3.111114947112029,0.7384310152602362,7.856661286854615,5
1,CatBoost,MAPE,3.5257121716094106,3.6005072561742675,0.3870078213773074,8.369218283621507,5
1,SVR_RBF,MAPE,8.206758242016146,7.0792971382733025,1.3685091400583635,18.688063593229003,5
1,Ridge,MASE,1.008585463555309,0.9241618888445499,0.2968517225917882,2.4055038336286905,5
1,ElasticNet,MASE,1.0815623811270334,0.9531074965325012,0.24218681226969233,2.2083822069603984,5
1,RandomForest,MASE,4.735050998645508,5.537017128985006,0.7591824108235616,13.271206483842867,5
1,LightGBM,MASE,5.0156497848265,5.654566884664835,0.9819529333431836,13.479507033738486,5
1,XGBoost,MASE,5.0374602220435545,5.569069167453873,0.9853992898945936,13.68857380848882,5
1,CatBoost,MASE,5.938272423296411,6.392631564787133,0.5356223275159679,14.55136652184248,5
1,SVR_RBF,MASE,13.163429646319674,12.124783685200416,1.8955039048125422,31.21075187972938,5
1,SVR_RBF,R2,-70.00606457105083,120.11446069960918,-282.63025703882505,-1.1116540442468703,5
1,XGBoost,R2,-5.773100217292301,9.505203194860597,-22.469536442005623,0.5437694412939301,5
1,LightGBM,R2,-3.5314043849224817,4.380300983436818,-10.500565487714578,0.7439850090365463,5
1,RandomForest,R2,-3.0308638900685994,3.882247356272541,-9.07419966687945,0.8489755362730851,5
1,CatBoost,R2,-2.5418808769142083,1.9447497865415868,-4.748425439041606,-0.24803878990113049,5
1,Ridge,R2,0.5028451017458169,0.6230214429366201,-0.4674745590453231,0.9780150148915672,5
1,ElasticNet,R2,0.6286360796938297,0.37521943882868947,0.20941024287599808,0.9599986638912889,5
1,Ridge,RMSE,0.6559943219287762,0.6734099317788,0.18190159346454932,1.7721710464395952,5
1,ElasticNet,RMSE,0.6906743306134404,0.648743338127602,0.15114091164918947,1.6178707384790143,5
1,RandomForest,RMSE,2.652755382273496,2.9040123983249972,0.4767569873192299,6.634010785637903,5
1,LightGBM,RMSE,2.8203796791226585,2.992957542420812,0.5840149026587189,6.68776191489267,5
1,XGBoost,RMSE,2.8619724989800197,2.907403680992647,0.6893957022050825,6.820526011614899,5
1,CatBoost,RMSE,3.2570640902224652,3.3314960301753964,0.3163863784039304,7.114050295092117,5
1,SVR_RBF,RMSE,6.982673179229705,6.385092330897208,1.1808389377603234,16.78018902822043,5
1,Ridge,fit_seconds,0.03298187255859375,0.046236401120027644,0.009424448013305664,0.11555242538452148,5
1,ElasticNet,fit_seconds,0.1411365032196045,0.0245619972518735,0.11525726318359375,0.1739788055419922,5
1,SVR_RBF,fit_seconds,0.19982190132141114,0.04745215254150606,0.15061545372009277,0.256960391998291,5
1,LightGBM,fit_seconds,0.47931551933288574,0.04696474317273302,0.41148853302001953,0.5386803150177002,5
1,XGBoost,fit_seconds,1.9852660179138184,0.38130497587779333,1.719266653060913,2.650800943374634,5
1,RandomForest,fit_seconds,2.0089337825775146,0.5318096761921867,1.5792357921600342,2.9093105792999268,5
1,CatBoost,fit_seconds,4.946087980270386,4.098273220655099,3.096327066421509,12.277255535125732,5
1,CatBoost,n_eval,90.0,0.0,90.0,90.0,5
1,ElasticNet,n_eval,90.0,0.0,90.0,90.0,5
1,LightGBM,n_eval,90.0,0.0,90.0,90.0,5
1,RandomForest,n_eval,90.0,0.0,90.0,90.0,5
1,Ridge,n_eval,90.0,0.0,90.0,90.0,5
1,SVR_RBF,n_eval,90.0,0.0,90.0,90.0,5
1,XGBoost,n_eval,90.0,0.0,90.0,90.0,5
1,Ridge,pred_seconds,0.0008165836334228516,0.0010502359247349343,0.0,0.0025277137756347656,5
1,ElasticNet,pred_seconds,0.0023162364959716797,0.0006117384026060039,0.0018262863159179688,0.003226757049560547,5
1,CatBoost,pred_seconds,0.003308391571044922,0.0015843879223282253,0.0017597675323486328,0.005753040313720703,5
1,LightGBM,pred_seconds,0.004284858703613281,0.0013333456985891404,0.002109527587890625,0.005588531494140625,5
1,XGBoost,pred_seconds,0.004784393310546875,0.0013343444562944346,0.0030317306518554688,0.006261110305786133,5
1,SVR_RBF,pred_seconds,0.016910505294799805,0.0018580789053751466,0.01530909538269043,0.019493818283081055,5
1,RandomForest,pred_seconds,0.04910149574279785,0.0022739806241380348,0.04603004455566406,0.05223798751831055,5
1,Ridge,sMAPE,0.6299566105226927,0.5371194325974464,0.1976164805179102,1.462162467190347,5
1,ElasticNet,sMAPE,0.6690514166545007,0.5394469172537067,0.17496522813918397,1.2867836995703812,5
1,RandomForest,sMAPE,2.9079723272168794,3.27309188573266,0.5026833534047332,7.9921363587461265,5
1,LightGBM,sMAPE,3.0877007012394224,3.339180746802729,0.6507637648781676,8.124714849707775,5
1,XGBoost,sMAPE,3.1063941378046827,3.2861916967902323,0.7355479970869518,8.256624437034628,5
1,CatBoost,sMAPE,3.6795668399150676,3.8040663794632974,0.3862888132160704,8.806869483482924,5
1,SVR_RBF,sMAPE,8.91812506990011,8.008051050462655,1.3836923921353226,21.03396556596621,5
5,LightGBM,DA,37.46486149395032,9.318455270208519,28.235294117647058,47.82608695652174,5
5,XGBoost,DA,39.13706525917734,10.14380736405736,27.906976744186046,47.82608695652174,5
5,RandomForest,DA,39.14960426130606,11.537578934160356,27.906976744186046,53.62318840579711,5
