feature,mean_abs_shap
SJC_ban_ra_lag1,2.4908721647167362
SJC_ban_ra_lag2,2.2654643556146294
SJC_mua_vao_lag1,1.3610853652321455
sma30_sjc,0.7905631160559697
SJC_ban_ra_lag7,0.7795098339119538
sma5_sjc,0.6507441039345082
sma10_sjc,0.4511095760698246
sma20_sjc,0.3261337234139512
SJC_ban_ra_lag3,0.3069954979020985
SJC_ban_ra_lag10,0.29350439377058535
SJC_ban_ra_lag5,0.22914160705740347
USD_Close,0.1390357297819327
bb_mid_sjc,0.12819983059453213
TenY_Treasury,0.12045678234388385
sma60_sjc,0.11964532331226935
GLD_Close,0.09958832499398673
ema10_sjc,0.08327607480438512
SJC_ban_ra_lag30,0.07915409720335762
Gold_Close,0.05151134784342999
SJC_ban_ra_lag14,0.04894987073420053
