horizon,model,split_coverage,split_width,aci_coverage,aci_width
1,ElasticNet,75.77777777777777,1.4399062293302507,86.0,1.8503513630967663
1,LightGBM,79.33333333333334,6.7960379560860815,72.66666666666667,6.870670003029721
1,Ridge,77.77777777777777,1.4811875184332621,86.0,1.6606067181418827
5,ElasticNet,73.77777777777777,2.552823628803748,85.77777777777779,3.7926410544647324
5,LightGBM,80.88888888888889,8.047853454010731,74.0,6.892820199936729
5,Ridge,78.0,3.6227866006676095,85.11111111111111,3.9378672317360994
20,ElasticNet,71.77777777777779,6.590979910041236,75.77777777777777,7.2674131836639875
20,LightGBM,65.55555555555556,7.584653018367055,73.55555555555556,7.58057165235162
20,Ridge,74.88888888888889,11.664500878179014,72.44444444444444,8.972707928825486
